# Pāḷi glossary — agree these BEFORE translating prose.
"# Keep Pāḷi unchanged. One agreed rendering per term, used consistently everywhere."
"# hi: Rewata Dhamma, Abhidharma Prakasini (Hindi, Varanasi 1967)"
# zh: 摂阿毘達磨義論 (classical Chinese Abhidhamma rendering)
# zh_TW: 摂阿毘達磨義論 (traditional-script Chinese rendering)
"# si: Sri Lankan Abhidhamma teaching tradition (Sangaha, Sinhala script)"
# my: Myanmar let-than manual tradition (Abhidhammattha Sangaha)
# ja: 南伝大蔵経 65: 摂阿毘達磨義論 (tr. Mizuno Kogen) — avoid Mahayana senses

pali,category,vietnamese,english,hi,zh,zh_TW,si,my,ja,refs
Adhimokkha,cetasikas,Thắng Giải,Decision,,,,,,,CS_ADHIMOKKHA
Adosa,cetasikas,Vô Sân,Non-hatred,,,,,,,CS_ADOSA
Ahirika,cetasikas,Vô Tàm,Shamelessness,,,,,,,CS_AHIRIKA M2_SI_PHAN/M2_S02
Alobha,cetasikas,Vô Tham,Non-greed,,,,,,,CS_ALOBHA
Anottappa,cetasikas,Vô Quý,Fearlessness of wrongdoing,,,,,,,CS_ANOTTAPPA M2_SI_PHAN/M2_S02
Cetanā,cetasikas,Tư,Volition,,,,,,,CS_CETANA M1_BASICS/M1_S03 M6_NGHIEP/M6_S01
Chanda,cetasikas,Dục,Desire-to-act,,,,,,,CS_CHANDA
Citt'ujukatā,cetasikas,Chánh Tâm,Rectitude of consciousness,,,,,,,CS_CITTUJUKATA
Citta-kammaññatā,cetasikas,Thích Tâm,Wieldiness of consciousness,,,,,,,CS_CITTAKAMMANNATA
Citta-lahutā,cetasikas,Khinh Tâm,Lightness of consciousness,,,,,,,CS_CITTALAHUTA
Citta-mudutā,cetasikas,Nhu Tâm,Malleability of consciousness,,,,,,,CS_CITTAMUDUTA
Citta-passaddhi,cetasikas,Tịnh Tâm,Tranquillity of consciousness,,,,,,,CS_CITTAPASSADDHI
Citta-pāguññatā,cetasikas,Thuần Tâm,Proficiency of consciousness,,,,,,,CS_CITTAPAGUNNATA
Diṭṭhi,cetasikas,Tà Kiến,Wrong view,,,,,,,CS_DITTHI
Dosa,cetasikas,Sân,Hatred,,,,,,,CS_DOSA M4_AKUSALA/M4_S03
Ekaggatā,cetasikas,Nhất hành (Định),One-pointedness,,,,,,,CS_EKAGGATA M1_BASICS/M1_S04
Hirī,cetasikas,Tàm,Moral shame,,,,,,,CS_HIRI
Issā,cetasikas,Tật,Envy,,,,,,,CS_ISSA
Jīvitindriya,cetasikas,Mạng quyền,Mental life faculty,,,,,,,CS_JIVITINDRIYA M1_BASICS/M1_S04
Karuṇā,cetasikas,Bi,Compassion,,,,,,,CS_KARUNA
Kukkucca,cetasikas,Hối,Worry,,,,,,,CS_KUKKUCCA
Kāy'ujukatā,cetasikas,Chánh Thân,Rectitude of mental factors,,,,,,,CS_KAYUJUKATA
Kāya-kammaññatā,cetasikas,Thích Thân,Wieldiness of mental factors,,,,,,,CS_KAYAKAMMANNATA
Kāya-lahutā,cetasikas,Khinh Thân,Lightness of mental factors,,,,,,,CS_KAYALAHUTA
Kāya-mudutā,cetasikas,Nhu Thân,Malleability of mental factors,,,,,,,CS_KAYAMUDUTA
Kāya-passaddhi,cetasikas,Tịnh Thân,Tranquillity of mental factors,,,,,,,CS_KAYAPASSADDHI
Kāya-pāguññatā,cetasikas,Thuần Thân,Proficiency of mental factors,,,,,,,CS_KAYAPAGUNNATA
Lobha,cetasikas,Tham,Greed,,,,,,,CS_LOBHA M4_AKUSALA/M4_S02
Macchariya,cetasikas,Lận,Avarice,,,,,,,CS_MACCHARIYA
Manasikāra,cetasikas,Tác ý,Attention,,,,,,,CS_MANASIKARA M1_BASICS/M1_S04
Middha,cetasikas,Thụy Miên,Torpor,,,,,,,CS_MIDDHA
Moha,cetasikas,Si,Delusion,,,,,,,CS_MOHA M4_AKUSALA/M4_S04 M8_NHAN_DUYEN/M8_S06
Muditā,cetasikas,Tùy Hỷ,Appreciative joy,,,,,,,CS_MUDITA M3_TINH_HAO_BIEN_HANH/M3_S03
Māna,cetasikas,Ngã Mạn,Conceit,,,,,,,CS_MANA
Ottappa,cetasikas,Quý,Moral dread,,,,,,,CS_OTTAPPA M3_TINH_HAO_BIEN_HANH/M3_S02
Paññā,cetasikas,Tuệ quyền,Wisdom faculty,,,,,,,CS_PANNA
Phassa,cetasikas,Xúc,Contact,,,,,,,CS_PHASSA PD_06 M1_BASICS/M1_S02
Pīti,cetasikas,Hỷ,Rapture,,,,,,,CS_PITI
Saddhā,cetasikas,Tín,Faith,,,,,,,CS_SADDHA M3_TINH_HAO_BIEN_HANH/M3_S02
Sammā-kammanta,cetasikas,Chánh Nghiệp,Right action,,,,,,,CS_SAMMAKAMMANTA
Sammā-vācā,cetasikas,Chánh Ngữ,Right speech,,,,,,,CS_SAMMAVACA
